longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-124.35,40.54,52,1820,300,806,270,3.0147,94600,NEAR OCEAN
-124.3,41.8,19,2672,552,1298,478,1.9797,85800,NEAR OCEAN
-124.3,41.84,17,2677,531,1244,456,3.0313,103600,NEAR OCEAN
-124.27,40.69,36,2349,528,1194,465,2.5179,79000,NEAR OCEAN
-124.26,40.58,52,2217,394,907,369,2.3571,111400,NEAR OCEAN
-124.25,40.28,32,1430,419,434,187,1.9417,76100,NEAR OCEAN
-124.23,41.75,11,3159,616,1343,479,2.4805,73200,NEAR OCEAN
-124.23,40.81,52,1112,209,544,172,3.3462,50800,NEAR OCEAN
-124.23,40.54,52,2694,453,1152,435,3.0806,106700,NEAR OCEAN
-124.22,41.73,28,3003,699,1530,653,1.7038,78300,NEAR OCEAN
-124.21,41.77,17,3461,722,1947,647,2.5795,68400,NEAR OCEAN
-124.21,41.75,20,3810,787,1993,721,2.0074,66900,NEAR OCEAN
-124.21,40.75,32,1218,331,620,268,1.6528,58100,NEAR OCEAN
-124.19,41.78,15,3140,714,1645,640,1.6654,74600,NEAR OCEAN
-124.19,40.78,37,1371,319,640,260,1.8242,70000,NEAR OCEAN
-124.19,40.77,30,2975,634,1367,583,2.442,69000,NEAR OCEAN
-124.19,40.73,21,5694,1056,2907,972,3.5363,90100,NEAR OCEAN
-124.18,40.79,39,1836,352,883,337,1.745,70500,NEAR OCEAN
-124.18,40.79,40,1398,311,788,279,1.4668,64600,NEAR OCEAN
-124.18,40.78,37,1453,293,867,310,2.5536,70200,NEAR OCEAN
-124.18,40.78,33,1076,222,656,236,2.5096,72200,NEAR OCEAN
-124.18,40.78,34,1592,364,950,317,2.1607,67000,NEAR OCEAN
-124.18,40.62,35,952,178,480,179,3.0536,107000,NEAR OCEAN
-124.17,41.8,16,2739,480,1259,436,3.7557,109400,NEAR OCEAN
-124.17,41.76,20,2673,538,1282,514,2.4605,105900,NEAR OCEAN
-124.17,40.8,52,661,316,392,244,0.957,60000,NEAR OCEAN
-124.17,40.8,52,1606,419,891,367,1.585,75500,NEAR OCEAN
-124.17,40.8,52,1557,344,758,319,1.8529,62500,NEAR OCEAN
-124.17,40.78,39,1606,330,731,327,1.6369,68300,NEAR OCEAN
-124.17,40.79,43,2285,479,1169,482,1.9688,70500,NEAR OCEAN
-124.17,40.77,30,1895,366,990,359,2.2227,81300,NEAR OCEAN
-124.17,40.75,13,2171,339,951,353,4.8516,116100,NEAR OCEAN
-124.17,40.76,26,1776,361,992,380,2.8056,82800,NEAR OCEAN
-124.17,40.74,17,2026,338,873,313,4.0357,128900,NEAR OCEAN
-124.17,40.62,32,1595,309,706,277,2.8958,86400,NEAR OCEAN
-124.16,41.74,15,2715,569,1532,530,2.1829,69500,NEAR OCEAN
-124.16,41.92,19,1668,324,841,283,2.1336,75000,NEAR OCEAN
-124.16,40.8,52,2416,618,1150,571,1.7308,80500,NEAR OCEAN
-124.16,40.79,52,1264,277,591,284,1.7778,76900,NEAR OCEAN
-124.16,40.79,52,2148,421,975,430,2.2566,92700,NEAR OCEAN
-124.16,40.78,50,2285,403,837,353,2.5417,85400,NEAR OCEAN
-124.16,40.78,43,2241,446,932,395,2.9038,82000,NEAR OCEAN
-124.16,40.77,35,2141,438,1053,434,2.8529,85600,NEAR OCEAN
-124.16,40.8,52,2167,480,908,451,1.6111,74700,NEAR OCEAN
-124.16,40.8,52,1703,500,952,435,1.1386,74100,NEAR OCEAN
-124.16,40.78,46,1975,346,791,349,3.8,81800,NEAR OCEAN
-124.16,40.79,46,3042,597,1206,541,2.1135,90600,NEAR OCEAN
-124.16,41.02,23,1672,385,1060,390,2.1726,75500,NEAR OCEAN
-124.16,40.95,20,1075,214,529,196,3.1406,96000,NEAR OCEAN
-124.16,40.6,39,1322,283,642,292,2.4519,85100,NEAR OCEAN
-124.15,41.81,17,3276,628,3546,585,2.2868,103100,NEAR OCEAN
-124.15,40.81,50,340,74,235,83,1.75,67500,NEAR OCEAN
-124.15,40.8,47,1486,335,765,329,1.755,74100,NEAR OCEAN
-124.15,40.78,41,2127,358,911,349,3.1711,104200,NEAR OCEAN
-124.15,40.79,37,2692,488,1263,486,3.0216,86400,NEAR OCEAN
